prompt	completion
Explanation of Why the Search result for your Brand Name is Fundamentally important in the Context of Brand SERP Optimisation for Google and Bing	"An online business presence is no longer optional; it’s a necessity. Before customers make purchases and spend their money, they will always pull out their phones and do a quick informational search to evaluate a brand’s message and reputation.
• What message does Google portray to your audience when they search your brand?
- Are they able to learn the basics about you?
- Is the information accurate?
• What does your “Google Business Card” look like?
- Is the message clear? Convincing?
These questions can be the make or break of a sale. But beyond that, the answers to these questions can shape your entire digital content strategy.
Brand SERP optimisation is the foundation of your online brand management. Improvements to your Brand SERP have a domino effect, expanding out to improve your SEO performances and your overarching online marketing strategy. Getting the initial domino in place is crucial for the rest of the strategy to succeed. By improving your Google Business Card for your audience, the rest will naturally fall into place and your wider SEO, content strategy, and online reputation will become a triple-threat against your competitors.

     You need to educate Google before it can present your audience with an accurate, positive, and convincing representation of your Brand SERP. The process is simple, but it requires you to invest time and resources into a meaningful and effective digital strategy that serves your Brand SERP.
In the competitive world of business, you don’t want to leave your brand’s message to chance, so you need to build a positive digital ecosystem and manage your Brand SERP proactively.
This process involves:
• Optimising
- Your Homepage
- Rich Sitelinks
- Your Social Media Accounts
- Google Ads
• Improving
- Search Results (the ones you control and those you don’t)
- Your Content Strategy
- Audience Participation
• Employing
- Simple SEO Tactics across the board
• Engaging your audience with relevant content
• Avoiding
- Cutting Corners with Cheats


 Since your Brand SERP reflects the world’s opinion of your brand, you absolutely must develop a diverse, active, and attractive digital ecosystem that truly engages your audience. Any content you produce must support your brand, be relatable for your audience, and add at least one small brick to building a consistent, accurate, positive, and convincing brand message.
The anatomy of a Brand SERP is based on the fundamental principle of Darwinism. If your Brand SERP is imperfect, then it has evolved to be imperfect. Unlike Darwinism, you can take control and change the course of natural selection by adapting your brand’s digital strategy.
You may be tempted to cut corners and cheat to expedite your online presence. Don’t. Competitor envy will only hurt your credibility and long-term success. It’s like a horse looking left and right during a race. Distracted like this, the horse will trip itself up. That’s why they wear blinders: to focus on what they are doing, where they are, and where they are going. Until you’ve sorted out your own horse, put your competitors out of your mind and concentrate on your own Brand SERP.
Whatever the weaknesses and strengths, you can change the course of evolution and focus on your brand-building goals. From bluelinks to Rich Elements (Video Boxes, Twitter Boxes, and even Knowledge Panels), you now have the power to manipulate the anatomy of your Brand SERP and design your Google Business Card, making it a “sexy” and powerful asset for your business.


     This book is exclusively about Google to keep the approach (relatively) uncomplicated. Even by narrowing the topic down to one search engine, there was a lot of content to cover in one book! But if you think back to the introduction, I mentioned that 1 billion people use Bing every month. This statistic means your Bing Business Card is incredibly important too and shouldn’t be pushed to one side as an afterthought. Au contraire: up to 10% of your audience uses Bing, and some people use multiple search engines in tandem. Even if Google dominates the industry, other search engines can still provide value to your brand and shouldn’t be dismissed.
Luckily, Bing and Google function in much the same manner, so everything you do to improve your Brand SERP on Google will help improve your Brand SERP on Bing (and vice versa). It’s a two birds, one stone kind of win that will improve your business’s online performance.
When you get it “right,” both Bing and Google will represent you in a positive light to their users. Each search engine will offer you incredible insights into what their users (and your audience) value, while also providing you with an independent evaluation of how the world perceives your brand.
This book and my courses are only the first steps to demystifying how Google, Bing, Yahoo and other search engines depict online brands. As search engines continue to improve their techniques for learning about and representing brands, Brand SERP strategies will evolve. To stay up to date on how to maintain your Brand SERP so it presents an accurate, clear, and compelling representation of your brand, the ultimate weapon is the SaaS platform, Kalicube Pro, which uses fresh data and up-to-the-minute techniques.

Business is a competition of Darwinistic natural selection—the best Brand SERP wins, so build yours up now."
What is an Alt Tag	The alternative text for an embedded graphic. This text is used by screen-readers for sight-impaired people to describe the image. Google uses it to better understand what the image shows. It is a field that can be filled out in HTML code.
What are Black Hat Tactics	Any technique, tactic, or strategy that aims to unfairly manipulate or “trick” Google’s algorithms to create artificially improved results. Identifying these techniques is a major focus for Google and it strives to exclude any web content that uses them. In the context of Brand SERPs (and so in the context of your brand and its reputation in Google’s eyes), Black Hat techniques should be avoided
What is Commercial Search (also called transactional)	A search query where the user expresses an explicit commercial intent. For example, when someone types the search query “Buy shoes,” they have an explicit purchase intent.
What is a  Crawlable webpage	The idea that Google can access all of the important pages through a simple and logical path from the homepage.
What is a Digital Ecosystem	The online presence of a business, such as the brand’s site, social media presence, content, public feedback (including social media and customer reviews), and any third-party statements about the brand.
What is EAT in SEO	E-A-T: An acronym meaning Expertise, Authoritativeness, and Trustworthiness that Google uses as a measure of credibility.
What is Informational Search	Any search query where the user is looking to research and understand more about a brand or topic. In the context of Brand SERPs, a user may Google a brand name to learn about who they are, what they offer, and if they are trustworthy.
What is a Knowledge Panel	An information box in the form of a panel that appears on the right-hand side when searching on your desktop computer. On mobile devices, they appear at the top. Knowledge Panels contain a summary of the important information that Google considers to be verified facts in response to a user’s search query.
What is Leapfrogging in SEO	The process of improving positive results that appear below a negative result to push them up in the Brand SERP, thus pushing the bad result down.
What is a Meta Title in SEO	The title of a webpage that the website owner provides in the HTML. Google uses this as the blue hyperlinked title in the SERP.
What is a  Meta Description in SEO	The description of a webpage that the website owner provides in the HTML. This is a summary of the information on the page. Google uses this to understand the page and will sometimes use it as the snippet description below the blue hyperlinked title in the SERP.
What is Navigational Search in SEO	Any search query where the user is looking for a specific website or brand. Most commonly performed with well-known brands like Facebook, this type of search occurs when a user already knows the brand and Googles it to access the brand’s site.
What is Negative SEO	The technique whereby a competitor actively implements tactics to help negative content appear on a Brand SERP or searches around a brand.
What is a “People Also Ask” (PAA) Panel on Google	A Google feature that provides a list of between two and five questions with their answers and a link to further information. Google wants to provide its users with information they didn’t know they wanted/needed, so with PAA, users can read the panel instead of clicking the links to navigate to the answer.
What is Private Blog Networks (PBN) in SEO	Multiple sites designed by a company or person to create authority for each of those sites purely based on the existence of other sites in the network. This is a Black Hat strategy.
What is a SERP Feature in SEO	"A SERP Feature is also referred to as a Rich Element.
A multimedia element known as a SERP Feature, such as Knowledge Panels, Twitter Boxes, Image Boxes, Video Boxes, etc."
What is a Rich Sitelink: in SEO	An expanded version of sitelinks, which includes the blue link text and a description (called a snippet).
What is Search Engine Optimisation	Search Engine Optimisation (SEO): SEO is the art and science of persuading search engines such as Google, Bing, and Yahoo to recommend your content to their users as the best solution to their problem.
What is a Semantic Triple	The term for identifying the “subject verb object” within content. Algorithms use semantic triples to understand what is being said, so writing accessible, clear, and correct sentences massively helps both Google and its users understand the meaning of your copy.
What is a SERP in SEO	An acronym for Search Engine Results Page, the page Google displays after a user submits a search query into a search engine.
What is Siloing in SEO	Siloing (also called categorisation): A technique used to stack or organise content vertically by topic. Effective and logical siloing allows search engines like Google to understand and digest information more effectively.
What is a Sitelink in SEO	Sitelink: The technical term for the hyperlinks in the SERP that appear under the main blue hyperlink and lead to specific pages or subpages in a website. On a Brand SERP’s homepage, they help users navigate to specific pages on a brand’s website.
Who are the important people in. Brand SERP Optimisation	"Life is never simple and is full of crossovers, so some people who could easily have been included in multiple sections just get one mention. :)
An enormous “thank you” to Anton Shulke for his help, support, and friendship over the last few years, and particularly his work on sticking with it and making both of the last two years “The Year of the Brand SERP”!
The Kalicube Team, past, present, and future, who have been an astonishing driving force behind making Brand SERPs a “thing” and making the Kalicube Pro platform so powerful. Katrina Bonete, Joan Buarao, Jesimar Estrada, Spencer Bohol, Ed Gestano, Cheene, Mary Ann Buarrao, April Joy Boral, Ez, Rui, Joshua, Kent...We are just getting started!
Peers and colleagues in the digital marketing community who welcomed me with kindness, took my ideas seriously, and encouraged my endeavors. Particularly: Andrea Volpini, Gennaro Cuofano, Olesia Korobka, Dave Davies, Koray Gübür, Bill Slawski, Dawn Anderson, Dixon Jones, Lily Ray, Joost de Valk, Purna Virji,Rand Fishkin, Ted Rubin, Ryan Foland, David Avrin, Jono Alderson, Dan Saunders, David Amerland, Laurence O’Toole, Barry Adams, David Amerland,  Cindy  Krum, Craig Campbell, David Bain, Alexandra Tachalova, Mary Davies, Peter Mead, Nik Ranger, Paul Bongers, Erin Sparks, Marie Haynes. Apologies to those I missed.
The people at Google and Bing who have generously supported me and shared insights directly in conversations and indirectly through all sorts of forums: John Mueller, Martin Splitt, Gary Illyes, Ali Alvi, Nathan Chalmers, Meenaz Merchant, and an especially big “thank you” to Frédéric Dubut and Fabrice Canel who both moved the needle for me back in 2019 with the opportunity to record “The Bing Series” of interviews in Redmond.
Every one of the 180+ guests on the podcast (and Kalicube Tuesdays) who taught me so much.
The editors who helped me write better: Melissa Fach, Danny Goodwin, Barry Schwartz, George Nguyen, and Erika Varagouli.
The amazing team at BrightRay Publishing (Emily Bartdorf, Jamie Fleming, Scott Turman, and Zoe Rose) who got this book from a flaky start line to a finish line I am proud of and helped make Brand SERP optimisation accessible to everyone.
All of my friends who have been there through my personal, professional, and musical ups, downs, fun, foolishness, overambition, and provided genius insights that helped get, keep, or put me back on track. Particularly: Léonor-Jo Barnard, Véronique Barnard, Hugo Scott, Alan Sinclair, Dave Clayton, Nadia Sandi, Fred André, Josie Barnard, and Clio Barnard.

The Fundamentals of Brand SERPs for Business

For anyone I missed, I apologise in advance. Please let me know. I’ll publish another book about Knowledge Panels soon. I can make amends there—it is a more academic topic, so is arguably a better place to be cited. In that context, this might actually be an unexpected “win” for you. :)"
Overview of how to deal with suboptimal content on a Brand SERP on Google	"In this course, we will look at how to deal with suboptimal content that is sitting on page #1 of your Brand SERP.

When I say suboptimal, I mean not only content that is negative, but also content that is inaccurate or simply not attractive for your audience. Anything that makes your Brand SERP less good that it should be.

The first lessons in this course deal with improving what actually appears on your Brand SERP. Improving the look of the SERP is the first, most important step. Make that first impression count. 

The second part of this course deals will removing the result. 
If the result looks less-than-perfect on your SERP and you can’t improve how it looks, then you need to push it down and off the page. 
Taking it further, even if the result looks OK on the SERP, but the content of the page behind the link is negative, then you really want to get that result off your SERP.

I’ll cover both in this course.
When improving how a result appears on your SERP, the results can be very quick if you have control. If you don’t, then the changes take longer, just be realistic and a little patient. 

Removing the result is all about leapfrogging that unwanted content and pushing it down off your SERP. This process is necessarily slower since we are working on Google’s ranking, and like any SEO work, the changes are not instantaneous. 

It’s worth pointing out that whenever any rankings change, they tend to be a little unstable initially. When you first manage to push that unwanted result down your SERP, Google will do A/B testing to check to see if the new ranking is good for its users. So it will pop back up intermittently over time and for different people. It won’t settle down for a few days, or perhaps even weeks. 

On a similar tack, even when you’ve succeeded and the SERP looks better, don’t think the job is over. Things change over time that might push the result back up - a change in Google’s algorithm might favour the unwanted result, or the owner of the result might implement some SEO improvements and push it back up onto your SERP. 

Either way, I recommend that you maintain some ongoing work to KEEP that unwanted result down - both by continuing to improve the SEO of the content you have pushed above it, and by working on pushing even more content above the suboptimal result so that it becomes well and truly buried.

You might also be worried about the fact that people DO click on these results. And they do.
You may have seen statistics about click through rates on different positions in SERPs. A typical example would give a 25% click through rate on position 1… and that leaves 75% for the other results, which seems a lot !

In reality, things aren’t quite that simple, especially on Brand SERPs. 

Here’s an overview of a typical case for a Brand SERP. The homepage and sitelink block dominates, and between 35% and 60% of people click on that. The intent of the user is to find your site, or find out about you, so that makes total sense.
 
 A further 30% of people don’t click on any of the results and they continue searching on Google. There are many reasons for this. Here are three 

1- they found the information they wanted - your address, or phone number for example - so there is no need to visit your site, or any other site, for that matter
2 - they don’t see what they are looking for and refine their search - who is the CEO of Disney, or where do I apply for a job at Disney
3 - Google suggested another search that grabbed their interest - perhaps a “People Also Ask” block, or “Related Searches” 

That leaves only 10 to 35% of people who actually click and visit one of the other sites that appear. And that 10 to 35% is divided between ALL the other results. Each one will get anything from almost zero percent of clicks if they are right at the bottom, to perhaps as high as 5% for a result that stands out from the crowd.

These figures are approximations, and actual figures for individual Brand SERPs will vary. It simply serves to indicate that what people see at a glance on your Brand SERP is the biggest single question here, and that relatively few people click on links other than the brand, especially if the Brand SERP looks convincing.

You can check the percentage of clicks your homepage block gets like this :

That will give you an idea of how many people click on the other results, and how damaging that unwanted result really is. Some people do click on it, but perhaps less than you thought. I’m not saying it isn’t important. It is VITALLY important from multiple perspectives.

Anyone searching your brand name sees it and that leaves a negative impression in their mind.
And then, anyone who clicks on it is probably researching you, and if the content is very negative, that potential conversion might well be a lost opportunity now.

Beyond those purely practical questions, the fact that this bad result ranks indicates that Google believes that the content is relevant and accurate. By improving it, you improve Google’s perception of you. And when you work to push other content above it, your are convincing Google THAT content is more relevant and representative.
 
Either way, you are improving Google’s opinion of you.

So, suboptimal content can be something outright negative, but also a competitor, something inaccurate, or simply something that isn’t overtly positive about you. In short anything YOU don’t like.

Now, a little bit of misquoted philosophy from Confucius. 
Identify the results you can change and change them. Identify those you cannot change and drown them. 

Making changes 
For some, you can improve them, either directly or indirectly. 
Simply getting the meta title and description improved means that people Googling your brand name see a more attractive SERP. 

You’ve dealt with the most visible part  and that’s a nice, satisfying quick short term win for you.

You can, and should, take this further. In the lessons I also provide techniques for improving the content on those pages.
 From the standpoint of E-A-T (Expertise, Authority and Trust), it is important to minimise any negativity attached to your brand.

Removing the result.
For any result that doesn’t reflect positively on your brand, you really do want to act to get it off your Brand SERP. Even if it isn’t outright negative, you want that Brand SERP to be the perfect representation of your brand. Accurate, positive and TRULY convincing to your audience. 

There are three things you can do here
1 - Leapfrogging it using the leapfrogging techniques in this course
2 - Create new content that will outrank and drown it
3 - Trigger rich elements that drowns and potentially reduces the number of results on your Brand SERP

Whichever you use, once you have removed one result from page #1, think about creating a  cushion of quality content above it. REALLY bury it, perhaps right down at the bottom of page 2… make it so the result will never make it back.
-"
Explanation of how to deal with negative forum threads about your brand	"There is a forum thread from a third party on your Brand SERP and it looks negative

The first thing to bear in mind is that, even though you don’t agree, and you think this is unfair, remember that forum threads are all about opinions and people are free to express their opinions. 

We all have a tendency to focus on positive opinions about us and we tend to ignore negative opinions when we can. In this case, when you've got this forum thread ranking very high on your Brand SERP, you can’t afford to ignore it. 

In this lesson, I’ll look at how best to deal with it and reduce the damage it is doing in the short term. Longer term, you definitely want to drown it. Watch the leapfrogging lessons for more on how to do that.

It’s important to bear in mind that behind every comment is a person. Behind the negative comments we are dealing with is a person with a bad experience with your brand. They've written on a forum because they are angry and upset - something in your service or product didn’t live up to their expectations. They're unhappy with what you've provided and their opinion is valid. You might not agree, but it's still a valid opinion. 

 The problem you need to face is that, once one person with a negative opinion creates a forum thread, it can spiral quickly out of control. And the more people contribute to that thread, the higher it will rank on your Brand SERP.

It sounds facile, but keeping customers happy has to be the foundation of any long-term business strategy. The visible side of satisfying clients and keeping them happy is great reviews. The invisible side is avoiding bad feedback of all sorts - on social media, in reviews, but also negative forum threads. 

There will always be some negative forum threads about a brand. 
Why do they sometimes appear on Brand SERPs?

One reason is that they are fresh. Another is popularity. Both of those make the thread relevant for searches on your brand name. 

Once a thread gets popular, people contribute with new comments. And once a forum thread starts getting updated regularly, that makes it fresh and it gets visibility on the platform and on Google, and that means more people see it and contribute, and that makes it fresh AND popular… 

it’s a spiralling cycle… and Google sees this as a signal that the thread is relevant and important - and therefore a great candidate for ranking on your Brand SERP. Once up on your Brand SERP, an active thread is very difficult to push down off your Brand SERP. 

Worse, a thread starts with one single person who is angry. But negativity attracts negativity…  lots of people will jump on the bandwagon. 
Few people will spontaneously defend you. And even if they do, the sentiment they express is highly unlikely to be as strong as the negative opinions. A thread that starts badly usually gets worse.

So what can you do?

First is to minimise the damage. 
Second is to push it off the SERP. 

In this lesson, I will explain how to minimise the immediate on-SERP damage. For the mid to long term, you really want to push it down off the SERP. Watch the leapfrogging lessons for more about how to do that. 

First thing to do is to open communication with the people on the thread

You need to engage with these people and start the process of calming things down. That usually means introducing some context and a little perspective. 

Do that by replying to the initial post - be tactful, though. The person isn’t wrong, they are simply not telling the whole story. Tactfully indicating that the situation isn’t quite so black and white is a great way to calm the thread down, and helpfully replying to the initial post shows that you are open to discuss, and that you want to resolve the problem - that’s a good signal to the community and to Google.

Don't argue your point of view. Don’t complain and justify yourself in public. Most of all, don't criticize the person directly. You are already seen to be the bad guy here, so don't argue the point. If they were angry to start with, that is nothing compared to how angry they will get if you start a fight in public. 
Stay reasonable, offer solutions and avoid criticising, however much they criticise you. That is the best way to calm things down.

Try to take this negative dialogue off the thread. Offer to engage through email, or by phone. Engaging with people on the forum runs the risk of making things a lot worse. The initial part of your dialogue is probably going to be quite negative. 
If possible, it is better to keep that negative conversation private - and definitely off the forum thread. If you can, bring them back onto the forum when you have calmed things down, and they're in a more positive frame of mind. 

Next, reply to the other comments, both negative and positive. Engage with everyone in the conversation. Move any negative conversations away from public view, and push the conversation back onto the thread once the tone is positive. 

Several things you’ll want to consider here. 
1 - people have vented their anger, and aren’t necessarily interested in engaging with you

2 - you don’t need everyone to be overly positive and sing your praises - that would seem suspicious :) Your aim is to get them to give a more balanced view.

3 - the process is step by step, comment by comment... person by person - remember every contributor is a person who has a complaint about your products and service.

4 - it takes time. You cannot change the tone of a thread with one comment. Each time you reply, each time you can get one contributor to calm down, the tone of the thread changes for the better. Over time that becomes noticeable to both the audience and to Google.

If you can't calm things down, even by being super-tactful, if these people are so angry and upset that they can no longer even start to contemplate your point of view, then you need to stop. 
You REALLY don't want to poke a wasps nest. They’ll get more angry and their comments will become even more vitriolic and damaging. Plus, you're just keeping the content fresh and that result will become even MORE sticky on your Brand SERP. 

Next option is to ask the forum owner

Getting the thread changed by the person who truly controls it is by far the best option But it is also very difficult. The key here is building a relationship with the forum owner. Without any relationship, you have no chance. With a relationship, you might be able to convince them to improve things.

I have seen site owners helping brands right off the bat when the thread is obviously excessive or unfair. But more often than not, you need to build some kind of relationship with the owner and get them on your side, and convince them that this thread is bad for them.  They have to see that intervening is beneficial to them…. It’s in THEIR interest. We’ll look at that later on in this lesson.

What can we realistically ask them to change?
The most important thing is to get them to change the meta title and description since that is what is most visible on your Brand SERP. 

You can’t really ask them to misrepresent the thread. But you can reasonably ask them to change it to be a more balanced reflection of the tone of the thread - and that works particularly well when you have done your work on the thread that I explained earlier - the thread will give a more balanced opinion of your brand and products than the initial post. 

And there’s the key. More often than not, the metas are taken from the initial post. That is rarely an accurate representation once you have calmed things down and other people have added their thoughts to the forum thread. Surprisingly, forum owners are actually open to this idea. The role of their site is to show a representative community-based view, so more balanced metas makes absolute sense to them. 

In this case, we've got them to change the meta title and description to make them less aggressive. We've created a slight problem because there has been an update, and that makes the content fresh…  but changing the metas is a big short term win. It's no longer absolutely killing our Brand SERP.

One thing that tends to stick around is the URL. It is usually the title of the initial comment, and if that is negative, even if you get the title and description changed, the negative message is still visible on your SERP. Ask to have that changed. But bear in mind this is a REALLY big ask. Changing the URL requires some technical implementation on their part, and that is usually too much to ask.

I mentioned making this beneficial to the site owner. 
So, as you just saw, if you approach this well, you can reasonably ask the owner to change the presentation on the SERP.
You can also try to get them to remove the worst content - but you need to approach it from their point of view - they need to clearly see some benefit that serves their self-interest.

Bear in mind that this is a LONG way from being a priority for them. They have thousands, possibly millions of threads to deal with. They are not going to be instinctively enthusiastic about this one single thread. You have to make it important to them.

Also, don't demand changes or bully. However much you think you are in the right, this won’t work. Be empathetic and look at this from the site owner’s point of view. 
And don’t call the lawyers - watch the lesson about Tactics to Avoid and Mistakes not to Make in the fundamentals course to understand why that is a spectacularly bad idea. 

ANY positive changes you can get are well worth taking. You are in the weak position here. Getting the meta title and description changed is obviously the aim of the game, but anything that makes this thread less poisonous will reduce its capacity to rank on your Brand SERP… and every negative mention you can have removed is very good for your business. 

So, even if you can’t get the metas changed and make your SERP look better, it is well worth removing individual comments.
That’s because, beyond your Brand SERP, these threads affect your business. People see them. Your reputation in their eyes suffers every time someone adds a negative comment to a thread like this. 

But also, Google sees them. And Google uses your reputation as part of its ranking algorithm.

Here's some possible angles you can consider when approaching a site owner

1 - Prove that it’s a truly unfair representation. This one is tough. You can see it is unfair. But anyone who doesn’t know your company as well as you do won’t see it. You have to prove that this is unfair from a completely impartial viewpoint. If you are to have any hope, you MUST take a big step back and look at your brand, your products and your services with completely impartially. That is possible, but VERY hard to do. I would suggest getting outside help.

2 - Show the site owner that it's black hat or spam. Forum owners don’t want black hat or spam on their site. This is an ongoing, and very annoying fight for them. If you can demonstrate that you are helping them reduce abuse on their platform, they will be very receptive.

3 - Bad language. Few people want bad language on their site. Comments that include bad language are often excessive, and are great candidates for complete removal.That is the best case for you. But they might put asterisks in the place of the rude word. Even that is worth taking.

4 - Excessive - if someone is going too far and vindictive - this is actually quite common and is easy to spot…vindictive people keep adding to the thread without any reason. Point that out to the site owner.

5 - False claims. if a comment is provably false, it is a good candidate for removal. Once again, you need to take a big step back and be neutral in order to argue a case like this.

6 - If the person is not really a client, you can potentially get the form of an owner to remove it. Hard to prove, but if you are sure about it, then it’s worth a try.

7 - Negative SEO - if you can prove it, this is a no-brainer for the site owner. Nobody wants to be used as a platform for negative SEO. It is VERY damaging for their global SEO strategy, and they will be happy to remove it. 

Always bear in mind that they TRULY don't care that it's damaging you. Put yourself in their shoes and explain it to them from their point of view. Demonstrate that it's damaging for them.  

If they do help you, the result will start to look a little bit better - short term.

But whatever the outcome of your exchanges with the forum owner, you definitely want to push this result off the first page of your Brand SERP.

So, whilst you are talking to the forum owner, work on drowning the thread using the leapfrogger technique that I explain in this course."
Explanation of online reviews about your company or products	"We're looking at platforms that collect reviews from your audience about your brand. This lesson doesn't cover individual reviews by journalists or bloggers - those are covered in the lesson about blogs and articles on your Brand SERPs. 

Reputable review platforms are good candidates for ranking on your Brand SERP. Great stuff. But the knife cuts both ways. A review platform showing high scores for your brand is very positive and very convincing for users and Google. One showing low scores for your brand is very, very negative.

There are three main types of review platform that tend to rank well on Brand SERPs. 

Firstly, service reviews
These are an evaluation or an opinion about your overall service, or your overall brand. Service reviews are a rating of how well your company treats your customers. That includes not only sales and after sales service, but that rating also includes your clients’ perception of your site - which is especially important if they make an online purchase without ever talking to your staff. 

And that last point is a GREAT reason to invest a lot of effort into an amazing UX on your site right from the landing page, through the checkout process, to the confirmation page, the email confirmation and any follow up emails.
You might have a low fail rate for checkout confirmations, or email delivery, or any other part of your sales process - but however few fails you have, each fail is a person, and that person is a client who can give a service review. Remember that when it goes wrong for them, and they are frustrated by that, a bad review is the probable outcome.

Secondly, product reviews. 
Obviously that's about your products. These are much less likely to rank on you Brand SERP. If they DO, then adapt the approach I set out here to that product. 

If you are uni product, service sector business, the distinction might not be clear in your mind. So, a quick clarification on the term “Service review” 
If your product is a service such as a consultant, or a plumber, then the term service reviews is confusing. The distinction is that, in the case of a service as a product, the “product review” is the quality of the work you did, and the service review is how well your company treated the customer.

Thirdly, employee review sites
These rank quite well, especially if they have managed to collect a lot of employee reviews. And this context, a dozen is a lot. Glassdoor is an example that comes up in Brand SERPs time and again.

Whatever the type of review platform, low scoring review stars look very on your Brand SERP and send out a very negative signal to people Googling your brand name. 

This one star looks very bad…
Even three-stars still looks bad...
When you get four stars, that's where things start to look good. 

Importantly, review platforms rank well on Brand SERPs today… and they are not going away anytime soon. Data from accuRanker indicates that over 75% of Brand SERPs contain review stars, and the review stars are drawn from these review platforms. So you have to face up to these platforms, and make sure your clients are sufficiently happy with your products and services to give you a great review… every time. As we’ll see, just a few unhappy customers can easily ruin your rating.

A quick side note - up to September 2019, brands could cheat and get stars on their own Brand SERP. But then Google updated their approach to how they display service level review stars in the SERPs. As of September 2019, Google no longer shows the review stars if the page is on the brand’s site. So even if you create a reviews page on your site, add genuine reviews to it and get it to rank on your Brand SERP, you won’t see the stars on the SERP. 

What if you have a low scoring platform on page 1
Several choices - 

Firstly, improve the score on that platform. That’s covered in this lesson.

Secondly, encourage Google to rank another platform in its place - Google is unlikely put more than 1 or 2 review platforms on your exact match Brand SERP - so give it a reason to put another platform in the place of the negative one… make another relevant platform irresistible to Google. 
Two factors come into play - how relevant the platform is to your industry, and the sheer volume of reviews that platform has for your brand. 
A relevant platform with significant number of positive reviews is a stunningly good candidate for your Brand SERP.

Thirdly, you can drown it by using the leapfrog technique. Watch the lessons in this course about leapfrogging to see how to do that.

Reviews, Maths and Scoring
For any review platform, at low levels of engagement by your clients, it's all a bit death or glory - the margins are very thin and ratings can ‘flip’ from positive to negative very easily…  so be aware of the task ahead. 

Here's some maths. Don't worry if you aren’t comfortable with Maths, this is a kind of maths story.

The story is that the less reviews you have on a platform, the easier it is for a great rating can flip to a bad one. If you can get a lot of reviews the rating will be MUCH more stable. So the aim is to collect a large number of 4 and 5 star reviews on any given platform to keep your ratings - and visible reputation - positive and stable.

Now for the sums. I hope I've made it reasonably simple and illustrative. 

Let’s look at a bad result. Starting off with a single one star review, you have a 20% average. That’s bad.
If you then get one five star review, what happens?
You have one one very happy client and you might think that counter-balances the unhappy client. Unfortunately review stars and ratings are FAR from a one-to-one trade off. 
You now have 60% - that's three stars. 
That wonderful five star review hasn't completely drowned the one star review. And result still looks bad on your SERP.

If you get another five star review, that's really nice. But what's your score now? 
Two five star reviews STILL can’t counteract the single one star review. Your rating is still only 73% - that’s still in the 3 star bracket - you're still not looking good enough. 

4 stars is the lowest bar that I consider “good enough”. Anything below makes people think twice about you brand.

So the ratio is 3 great reviews for every bad review.

That doesn't seem too bad, but if the next reviewer only gives you a one star review... Look what happens. It drops quite a long way. Well below that four star target you’re aiming for. 

Five star reviews are pretty hard to get. Getting four star reviews might appear to be enough, but once you have any single review that's below four stars, no number of four star reviews, will EVER get your average back up to four. So relying on your clients to give you 4 stars isn’t going to work.

Look at this data. I know it's a bit complicated, but look how slowly that average creeps up with each additional very good four star review…
and with ONLY 4 star reviews, it will never get to four. You need 5 stars in the mix.

In this typical example, I need six five star reviews to actually get that average back up to four… and I need to get 15 extra reviews to achieve that. That's quite a big ask.

That’s at low volumes.
What happens if we scale up a bit. Imagine that you have a hundred reviews already collected, and the average score is three. NOW look at how slowly that average rises with each additional review. Very, VERY slowly. 

The good news is that any new one star reviews don't have much impact. The bad news is that neither do the 4 and 5 star reviews ! So, you need boatloads of reviews and you need a lot of five star reviews. 

Now, a word of warning…  even when you're in a seemingly safe situation, you need to keep your eye on the ball
This example appears to be plain sailing at 4.1 stars, but it doesn't take much to ruin that and drop below the 4 star score that “wins and keeps customers”.

In this example, just 4 one star reviews pulls that seemingly safe score below the average we are looking for. And once you've dropped below - even if it's only a tiny bit below - getting back is tough. In this example, it takes another FOURTEEN five-star reviews in a row to get back to your starting position again and feel relatively safe. 

In short - Review scores are very hard to build up, very easy to lose... and they're very hard to regain when you do lose them. 
The more reviews you have on a platform, the more stable your rating will be, and the more you can happily welcome that platform on your SERP. 

The general rules. And these are quite scary, so take a big breath :)
As a general rule of thumb, if you are to have positive-looking ratings on a review site, then  the ratio of good reviews to bad is 3 to 1. 
Doesn’t seem TOO scary. But that doesn’t mean making three quarters of your clients VERY happy… unhappy clients are MUCH more likely to give you a review. And however much you encourage your happy clients, the ratio of happy clients giving you a review is always much lower than for unhappy clients. 

A realistic ratio of unhappy to happy client’s you need to aim for is closer to 9 to 1.
And just to push the point, that one bad review can be triggered from any single less-than-perfect experience with you. 

Let’s say there are 12 touch points during and after purchase. That’s 12 opportunities to get things wrong. Any one of those 12 can trigger a negative review. None will ever trigger a positive review on its own - to get a great review, you have to get all 12 100% right.
Scary stuff."
